pressure,global_radiation,temp_mean,temp_min,temp_max,wind_speed,wind_bearing,normalized_label
991.1,0.28,7.2,4.7,9.8,4.83,240,1
991.1,0.28,7.2,4.7,9.8,17.71,190,3
991.1,0.37,9.6,8.1,12.3,4.83,240,0
991.1,0.37,9.6,8.1,12.3,17.71,190,2
991.1,0.23,6.0,4.0,7.8,4.83,240,0
991.1,0.23,6.0,4.0,7.8,17.71,190,2
991.1,0.8,2.2,0.3,4.5,4.83,240,0
991.1,0.8,2.2,0.3,4.5,17.71,190,2
991.2,0.36,-0.3,-2.7,2.0,16.1,150,3
991.2,0.36,-0.3,-2.7,2.0,15.84,160,3
991.2,0.69,5.8,2.2,10.3,16.1,150,3
991.2,0.69,5.8,2.2,10.3,15.84,160,3
991.2,0.49,4.5,0.3,7.4,16.1,150,2
991.2,0.49,4.5,0.3,7.4,15.84,160,2
991.2,0.44,7.3,4.9,10.7,16.1,150,2
991.2,0.44,7.3,4.9,10.7,15.84,160,2
991.2,0.5,8.4,5.5,11.3,16.1,150,2
991.2,0.5,8.4,5.5,11.3,15.84,160,2
991.2,0.11,-1.0,-1.6,-0.4,16.1,150,2
991.2,0.11,-1.0,-1.6,-0.4,15.84,160,2
991.2,1.19,3.8,1.2,7.6,16.1,150,2
991.2,1.19,3.8,1.2,7.6,15.84,160,2
991.2,0.44,5.8,3.9,7.9,16.1,150,2
991.2,0.44,5.8,3.9,7.9,15.84,160,2
991.3,2.24,7.8,3.3,13.9,4.83,100,1
991.3,2.24,7.8,3.3,13.9,14.49,320,1
991.3,1.9,17.4,14.0,20.7,4.83,100,1
991.3,1.9,17.4,14.0,20.7,14.49,320,1
991.3,0.31,11.6,9.6,13.6,4.83,100,0
991.3,0.31,11.6,9.6,13.6,14.49,320,0
991.3,0.12,9.0,6.8,11.4,4.83,100,0
991.3,0.12,9.0,6.8,11.4,14.49,320,0
991.3,0.36,0.7,0.1,1.8,4.83,100,0
991.3,0.36,0.7,0.1,1.8,14.49,320,0
991.4,1.5,7.9,4.7,12.1,0.0,0,1
991.4,0.2,2.1,-0.8,4.4,0.0,0,0
991.4,0.37,2.6,0.5,5.0,0.0,0,0
991.4,0.12,8.6,6.7,11.1,0.0,0,0
991.4,0.16,9.3,6.7,12.6,0.0,0,0
991.4,0.08,2.6,-0.6,6.0,0.0,0,0
991.5,0.12,-0.5,-3.5,2.8,20.93,160,3
991.5,0.12,-0.5,-3.5,2.8,31.89,161,3
991.6,1.38,9.6,6.7,12.7,11.95,153,0
991.6,1.38,9.6,6.7,12.7,1.61,170,0
991.6,1.38,9.6,6.7,12.7,11.27,60,0
991.6,1.38,9.6,6.7,12.7,12.88,310,0
991.6,0.23,9.4,7.2,12.5,11.95,153,0
991.6,0.23,9.4,7.2,12.5,1.61,170,0
991.6,0.23,9.4,7.2,12.5,11.27,60,0
991.6,0.23,9.4,7.2,12.5,12.88,310,0
991.6,0.23,8.3,2.2,14.3,11.95,153,0
991.6,0.23,8.3,2.2,14.3,1.61,170,0
991.6,0.23,8.3,2.2,14.3,11.27,60,0
991.6,0.23,8.3,2.2,14.3,12.88,310,0
991.6,0.32,13.3,9.3,16.1,11.95,153,0
991.6,0.32,13.3,9.3,16.1,1.61,170,0
991.6,0.32,13.3,9.3,16.1,11.27,60,0
991.6,0.32,13.3,9.3,16.1,12.88,310,0
991.7,0.42,5.8,3.2,6.5,3.22,50,1
991.7,0.42,5.8,3.2,6.5,28.98,340,3
991.7,0.28,9.3,7.5,12.0,3.22,50,0
991.7,0.28,9.3,7.5,12.0,28.98,340,2
991.7,0.89,8.5,6.4,12.1,3.22,50,0
991.7,0.89,8.5,6.4,12.1,28.98,340,2
991.7,0.2,0.2,-2.7,3.6,3.22,50,0
991.7,0.2,0.2,-2.7,3.6,28.98,340,2
991.7,1.32,10.4,8.0,14.8,3.22,50,0
991.7,1.32,10.4,8.0,14.8,28.98,340,2
991.8,1.74,10.4,8.2,17.0,14.49,140,1
991.8,1.74,10.4,8.2,17.0,7.66,169,1
991.8,1.74,10.4,8.2,17.0,20.93,350,3
991.8,0.43,4.8,0.6,8.9,14.49,140,1
991.8,0.43,4.8,0.6,8.9,7.66,169,1
991.8,0.43,4.8,0.6,8.9,20.93,350,3
991.8,0.29,8.7,5.6,11.2,14.49,140,0
991.8,0.29,8.7,5.6,11.2,7.66,169,0
991.8,0.29,8.7,5.6,11.2,20.93,350,2
991.8,0.13,5.4,3.3,8.8,14.49,140,0
991.8,0.13,5.4,3.3,8.8,7.66,169,0
991.8,0.13,5.4,3.3,8.8,20.93,350,2
991.8,0.21,8.2,5.9,10.4,14.49,140,0
991.8,0.21,8.2,5.9,10.4,7.66,169,0
991.8,0.21,8.2,5.9,10.4,20.93,350,2
991.8,0.48,8.3,2.4,14.9,14.49,140,0
991.8,0.48,8.3,2.4,14.9,7.66,169,0
991.8,0.48,8.3,2.4,14.9,20.93,350,2
991.8,0.95,12.9,10.4,15.4,14.49,140,0
